idIntencionVoto,idFormGeneral,tipoIntencionVoto,fechaEncuesta,pregunta,siNoExplicacion,fechaAlta,fechaEdicion,usuarioCrea,usuarioEdicion,activo,idIntencionVotoRegistro,candidato,partido,resultado,fecha,casaEncuestadora,fechaInicio,fechaFin
26,26,Candidato + Partido,2021/04/15 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/15 17:33:59,NA,admin,NA,1,114,AMLO,MORENA,41.9,2021-04-15,SDP  Noticias,2021-04-11,2021-04-14
26,26,Candidato + Partido,2021/04/15 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/15 17:33:59,NA,admin,NA,1,115,ANAYA,PAN,19.7,2021-04-15,SDP  Noticias,2021-04-11,2021-04-14
26,26,Candidato + Partido,2021/04/15 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/15 17:33:59,NA,admin,NA,1,116,MEADE,PRI,22.7,2021-04-15,SDP  Noticias,2021-04-11,2021-04-14
27,27,Candidato + Partido,2021/05/02 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/15 17:36:29,NA,admin,NA,1,119,AMLO,MORENA,48,2021-05-02,Reforma,2021-04-26,2021-04-30
27,27,Candidato + Partido,2021/05/02 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/15 17:36:29,NA,admin,NA,1,120,ANAYA,PAN,30,2021-05-02,Reforma,2021-04-26,2021-04-30
27,27,Candidato + Partido,2021/05/02 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/15 17:36:29,NA,admin,NA,1,121,MEADE,PRI,17,2021-05-02,Reforma,2021-04-26,2021-04-30
28,28,Candidato + Partido,2021/05/10 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/15 17:39:03,NA,admin,NA,1,124,AMLO,MORENA,33.4,2021-05-10,Conteo SC ,2021-04-30,2021-05-02
28,28,Candidato + Partido,2021/05/10 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/15 17:39:03,NA,admin,NA,1,125,ANAYA,PAN,23.3,2021-05-10,Conteo SC ,2021-04-30,2021-05-02
28,28,Candidato + Partido,2021/05/10 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/15 17:39:03,NA,admin,NA,1,126,MEADE,PRI,24.2,2021-05-10,Conteo SC ,2021-04-30,2021-05-02
29,29,Candidato + Partido,2021/05/16 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/15 17:41:53,NA,admin,NA,1,129,AMLO,MORENA,32.6,2021-05-16,Consulta Mitofsky,2021-05-11,2021-05-13
29,29,Candidato + Partido,2021/05/16 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/15 17:41:53,NA,admin,NA,1,130,ANAYA,PAN,20.5,2021-05-16,Consulta Mitofsky,2021-05-11,2021-05-13
29,29,Candidato + Partido,2021/05/16 00:00:00,¿Por cuál de estos candidatos votaría para la presidencia?,No sabe,2021/01/15 17:41:53,NA,admin,NA,1,131,MEADE,PRI,14.5,2021-05-16,Consulta Mitofsky,2021-05-11,2021-05-13
