candidato,dia,color,media,ic_025,ic_975,fecha,mediatt,ic_025tt,ic_975tt
PAN,51,#17418A,29.61011953773577,28.35596682631892,30.804049564112677,2021-05-11,30,28.4,30.8
PAN,52,#17418A,29.663781385899547,28.374272959348872,30.995001038245917,2021-05-12,30,28.4,31
PAN,53,#17418A,29.665624226496934,28.545683459959847,30.98292790496962,2021-05-13,30,28.5,31
PAN,54,#17418A,29.577244191452305,28.252820081466645,30.890473240753362,2021-05-14,30,28.3,30.9
PAN,55,#17418A,29.41675451708955,28.004562848512137,30.9530526191272,2021-05-15,29,28,31
PAN,56,#17418A,29.099929262771397,27.562540626410055,30.469565824448853,2021-05-16,29,27.6,30.5
PAN,57,#17418A,28.85028449804538,27.123256631395087,30.17546495660251,2021-05-17,29,27.1,30.2
PAN,58,#17418A,28.635114925189047,26.986132471656838,29.97246718172603,2021-05-18,29,27,30
PAN,59,#17418A,28.404884324490133,26.94404713369176,29.734329932725867,2021-05-19,28,26.9,29.7
PAN,60,#17418A,28.198116042513504,27.07481743834796,29.399642265302973,2021-05-20,28,27.1,29.4
PAN,61,#17418A,28.143902709126696,26.86372975001406,29.429653956152045,2021-05-21,28,26.9,29.4
PAN,62,#17418A,28.12863975024516,26.762572006062296,29.500175594048915,2021-05-22,28,26.8,29.5
PAN,63,#17418A,28.22124204876494,26.89007462345719,29.38289595301029,2021-05-23,28,26.9,29.4
PAN,64,#17418A,28.406063136507832,27.00831159156517,29.974754257700702,2021-05-24,28,27,30
PAN,65,#17418A,28.61858348047593,27.353607434816567,30.58166354809892,2021-05-25,29,27.4,30.6
PAN,66,#17418A,28.613832640359988,27.16947566615053,30.100859345727173,2021-05-26,29,27.2,30.1
PAN,67,#17418A,28.712785653307726,27.214975342592073,30.04296670356656,2021-05-27,29,27.2,30
PAN,68,#17418A,28.74483029341074,27.22342902669302,30.071921036718884,2021-05-28,29,27.2,30.1
PAN,69,#17418A,28.79755225767393,26.643110909022848,30.466620183606967,2021-05-29,29,26.6,30.5
